,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
4,Sergio Agüero,Argentina,27,"AM(CL),FW",5,5,386,3,0,1,7.20,2014-15,CONMEBOL Copa America
5,Santiago Arias,Colombia,24,D(R),2,2,210,0,0,0,7.20,2014-15,CONMEBOL Copa America
6,Gonzalo Jara,Chile,30,"D(CR),DMC",4,4,340,0,0,0,7.18,2014-15,CONMEBOL Copa America
7,Carlos Sánchez,Colombia,29,"D(C),M(C)",3,3,243,0,0,0,7.17,2014-15,CONMEBOL Copa America
8,Cristián Zapata,Colombia,29,D(C),4,4,390,0,0,0,7.16,2014-15,CONMEBOL Copa America
9,Pablo Zabaleta,Argentina,30,"D(R),DMC,M(R)",5,5,510,0,1,0,7.16,2014-15,CONMEBOL Copa America
0,Robinho,Brazil,31,"AM(CLR),FW",2,2,163,1,1,0,7.16,2014-15,CONMEBOL Copa America
1,Rafael Márquez,Mexico,36,D(C),1,1,64,0,0,0,7.15,2014-15,CONMEBOL Copa America
2,David Ospina,Colombia,27,GK,4,4,391,0,0,0,7.15,2014-15,CONMEBOL Copa America
3,Luis Advíncula,Peru,25,"D(R),M(R)",6,6,540,0,0,1,7.14,2014-15,CONMEBOL Copa America
4,Gary Medel,Chile,28,"D(C),DMC",6,6,570,1,1,0,7.13,2014-15,CONMEBOL Copa America
5,Jefferson Montero,Ecuador,26,M(L),3,3,270,0,1,0,7.11,2014-15,CONMEBOL Copa America
6,Hugo Ayala,Mexico,28,D(C),3,3,270,0,0,0,7.10,2014-15,CONMEBOL Copa America
7,Kemar Lawrence,Jamaica,23,D(CL),3,3,270,0,0,0,7.10,2014-15,CONMEBOL Copa America
8,Fernandinho,Brazil,30,"D(CR),DMC",4,4,391,0,0,0,7.08,2014-15,CONMEBOL Copa America
9,Francisco Silva,Chile,29,"D(C),M(C)",1,1,120,0,0,0,7.08,2014-15,CONMEBOL Copa America
0,Ezequiel Garay,Argentina,29,D(C),4,4,391,0,0,0,7.07,2014-15,CONMEBOL Copa America
1,Lucas Barrios,Paraguay,31,FW,4,2,234,3,0,0,7.06,2014-15,CONMEBOL Copa America
2,Raúl Jiménez,Mexico,24,FW,3,2,209,2,0,0,7.06,2014-15,CONMEBOL Copa America
3,Willian,Brazil,27,AM(CLR),4,4,305,0,1,0,7.05,2014-15,CONMEBOL Copa America
4,Claudio Bravo,Chile,32,GK,6,6,571,0,0,0,7.05,2014-15,CONMEBOL Copa America
5,Edwin Cardona,Colombia,23,AM(CL),2,0,124,0,0,0,7.05,2014-15,CONMEBOL Copa America
6,Miller Bolaños,Ecuador,25,"AM(C),FW",3,3,270,2,1,1,7.03,2014-15,CONMEBOL Copa America
7,Nelson Haedo Valdez,Paraguay,32,"AM(R),FW",5,4,326,1,0,0,7.03,2014-15,CONMEBOL Copa America
8,Miranda,Brazil,31,D(C),4,4,391,0,0,0,7.03,2014-15,CONMEBOL Copa America
9,James Rodríguez,Colombia,24,"AM(CLR),FW",4,4,391,0,0,0,7.02,2014-15,CONMEBOL Copa America
0,Álvaro Pereira,Uruguay,30,"D(L),M(L)",3,3,270,0,0,0,7.01,2014-15,CONMEBOL Copa America
1,Juan Vargas,Peru,32,"D(L),M(CL)",6,6,538,0,1,0,6.99,2014-15,CONMEBOL Copa America
2,Enner Valencia,Ecuador,26,"AM(LR),FW",3,3,270,2,0,0,6.99,2014-15,CONMEBOL Copa America
3,Filipe Luís,Brazil,30,D(L),4,4,390,0,0,0,6.99,2014-15,CONMEBOL Copa America
4,Marcelo Díaz,Chile,29,DMC,6,6,488,0,0,0,6.98,2014-15,CONMEBOL Copa America
5,Ezequiel Lavezzi,Argentina,30,"AM(CLR),FW",2,0,125,0,0,0,6.98,2014-15,CONMEBOL Copa America
6,Adrián Aldrete,Mexico,27,D(CLR),2,2,161,0,2,0,6.95,2014-15,CONMEBOL Copa America
7,Cristian Rodríguez,Uruguay,30,AM(CL),4,3,241,1,0,1,6.93,2014-15,CONMEBOL Copa America
8,Jefferson Farfán,Peru,31,"M(CR),FW",4,3,284,0,0,0,6.92,2014-15,CONMEBOL Copa America
9,Maxi Pereira,Uruguay,31,D(R),4,4,360,0,0,0,6.90,2014-15,CONMEBOL Copa America
0,Carlos Ascues,Peru,23,"D(C),DMC",6,6,540,0,0,1,6.90,2014-15,CONMEBOL Copa America
1,Juan Camilo Zuñiga,Colombia,30,"D(LR),M(L)",3,3,301,0,0,0,6.90,2014-15,CONMEBOL Copa America
2,Sergio Romero,Argentina,28,GK,6,6,602,0,0,0,6.89,2014-15,CONMEBOL Copa America
3,Derlis González,Paraguay,21,AM(LR),5,3,304,1,0,1,6.88,2014-15,CONMEBOL Copa America
4,Javier Mascherano,Argentina,31,"D(C),M(C)",6,6,587,0,0,0,6.88,2014-15,CONMEBOL Copa America
5,Víctor Cáceres,Paraguay,30,DMC,5,5,450,0,0,0,6.87,2014-15,CONMEBOL Copa America
6,Sebastián Coates,Uruguay,25,D(C),1,1,90,0,0,0,6.87,2014-15,CONMEBOL Copa America
7,Vicente Matías Vuoso,Mexico,34,FW,3,3,270,2,0,0,6.87,2014-15,CONMEBOL Copa America
8,Antony Silva,Paraguay,31,GK,2,2,180,0,0,0,6.87,2014-15,CONMEBOL Copa America
9,Arturo Mina,Ecuador,25,D(C),1,1,90,0,0,0,6.85,2014-15,CONMEBOL Copa America
0,Pedro Gallese,Peru,25,GK,6,6,540,0,0,0,6.85,2014-15,CONMEBOL Copa America
1,Andrés Túñez,Venezuela,28,D(C),3,3,270,0,0,0,6.84,2014-15,CONMEBOL Copa America
2,Claudio Pizarro,Peru,37,"AM(C),FW",4,3,229,1,0,0,6.84,2014-15,CONMEBOL Copa America
3,Philippe Coutinho,Brazil,23,M(CLR),3,2,233,0,0,0,6.84,2014-15,CONMEBOL Copa America
4,Christian Ramos,Peru,27,D(C),2,1,153,0,0,0,6.80,2014-15,CONMEBOL Copa America
5,Carlos Zambrano,Peru,26,D(C),5,5,380,0,0,0,6.79,2014-15,CONMEBOL Copa America
6,Marcelo Martins,Bolivia,28,FW,4,4,358,2,1,0,6.79,2014-15,CONMEBOL Copa America
7,Alain Baroja,Venezuela,26,GK,3,3,270,0,0,0,6.78,2014-15,CONMEBOL Copa America
8,Rómel Quiñónez,Bolivia,23,GK,4,4,360,0,0,1,6.78,2014-15,CONMEBOL Copa America
9,Julio Domínguez,Mexico,28,D(CLR),3,3,270,0,0,0,6.77,2014-15,CONMEBOL Copa America
0,Javier Güémez,Mexico,24,M(CLR),3,3,232,0,0,0,6.77,2014-15,CONMEBOL Copa America
1,Miguel Hurtado,Bolivia,30,D(CLR),3,3,226,0,0,1,6.77,2014-15,CONMEBOL Copa America
2,Éver Banega,Argentina,27,M(C),5,1,192,0,0,0,6.77,2014-15,CONMEBOL Copa America
3,Lucas Biglia,Argentina,29,DMC,6,5,521,0,0,0,6.76,2014-15,CONMEBOL Copa America
4,Edgar Benítez,Paraguay,28,FW,6,4,407,1,1,1,6.74,2014-15,CONMEBOL Copa America
5,Egidio Arévalo Ríos,Uruguay,34,DMC,4,4,360,0,0,0,6.74,2014-15,CONMEBOL Copa America
6,Fernando Muslera,Uruguay,29,GK,4,4,360,0,0,0,6.73,2014-15,CONMEBOL Copa America
7,Paulo Da Silva,Paraguay,35,D(C),6,6,570,0,1,0,6.71,2014-15,CONMEBOL Copa America
8,Tomás Rincón,Venezuela,28,M(CR),3,3,270,0,0,0,6.71,2014-15,CONMEBOL Copa America
9,Edwin Retamoso,Peru,33,M(CLR),1,1,90,0,0,0,6.71,2014-15,CONMEBOL Copa America
0,José Rojas,Chile,32,D(CL),1,1,90,0,0,0,6.71,2014-15,CONMEBOL Copa America
1,Eugenio Mena,Chile,27,"D(L),M(L)",4,2,244,0,0,0,6.71,2014-15,CONMEBOL Copa America
2,Ronald Raldes,Bolivia,34,D(C),4,4,360,1,0,0,6.70,2014-15,CONMEBOL Copa America
3,Alejandro Guerra,Venezuela,30,AM(C),3,3,252,0,1,1,6.69,2014-15,CONMEBOL Copa America
4,Nicolás Lodeiro,Uruguay,26,"M(CLR),FW",2,2,155,0,0,0,6.68,2014-15,CONMEBOL Copa America
5,Carlos Sánchez,Uruguay,31,M(CR),4,3,251,0,1,0,6.67,2014-15,CONMEBOL Copa America
6,Bruno Valdez,Paraguay,23,D(CLR),4,4,390,0,1,0,6.66,2014-15,CONMEBOL Copa America
7,Carlos Salcedo,Mexico,22,D(CR),1,0,19,0,0,0,6.66,2014-15,CONMEBOL Copa America
8,Wes Morgan,Jamaica,31,D(C),3,3,270,0,0,0,6.66,2014-15,CONMEBOL Copa America
9,Miku,Venezuela,30,FW,2,0,26,1,0,0,6.66,2014-15,CONMEBOL Copa America
0,Martin Smedberg-Dalence,Bolivia,31,M(R),4,4,360,1,1,0,6.65,2014-15,CONMEBOL Copa America
1,Duwayne Kerr,Jamaica,28,GK,2,2,180,0,0,0,6.65,2014-15,CONMEBOL Copa America
2,Pablo Aguilar,Paraguay,28,D(C),5,5,480,0,0,0,6.64,2014-15,CONMEBOL Copa America
3,Gonzalo Higuaín,Argentina,28,FW,4,1,142,2,0,0,6.64,2014-15,CONMEBOL Copa America
4,Jesús Corona,Mexico,34,GK,3,3,270,0,0,0,6.63,2014-15,CONMEBOL Copa America
5,Josepmir Ballón,Peru,27,DMC,5,5,450,0,0,0,6.63,2014-15,CONMEBOL Copa America
6,Alexander Mejía,Colombia,27,M(CLR),3,1,196,0,0,0,6.61,2014-15,CONMEBOL Copa America
7,Edward Zenteno,Bolivia,31,D(CLR),3,3,270,0,0,0,6.60,2014-15,CONMEBOL Copa America
8,Ángelo Henríquez,Chile,21,FW,2,0,70,0,1,0,6.60,2014-15,CONMEBOL Copa America
9,Osbaldo Lastra,Ecuador,30,M(CLR),2,2,158,0,0,0,6.60,2014-15,CONMEBOL Copa America
0,Gabriel Achilier,Ecuador,30,D(C),3,3,270,0,0,0,6.59,2014-15,CONMEBOL Copa America
1,Fred,Brazil,22,M(C),2,2,121,0,0,0,6.58,2014-15,CONMEBOL Copa America
2,Óscar Romero,Paraguay,23,"AM(CLR),FW",3,1,160,0,0,0,6.58,2014-15,CONMEBOL Copa America
3,Jobi McAnuff,Jamaica,34,AM(CLR),3,3,270,0,0,0,6.56,2014-15,CONMEBOL Copa America
4,Roberto Firmino,Brazil,24,"M(CLR),FW",4,3,242,1,0,0,6.56,2014-15,CONMEBOL Copa America
5,Michael Hector,Jamaica,23,"D(C),DMC",3,3,251,0,0,0,6.56,2014-15,CONMEBOL Copa America
6,Gerardo Flores,Mexico,29,D(CLR),3,3,270,0,0,0,6.55,2014-15,CONMEBOL Copa America
7,Marco Fabián,Mexico,26,"AM(CR),FW",1,0,38,0,0,0,6.55,2014-15,CONMEBOL Copa America
8,Jesús Corona,Mexico,23,"D(R),M(CLR),FW",3,3,229,0,0,0,6.54,2014-15,CONMEBOL Copa America
9,Juan Arango,Venezuela,35,AM(L),3,3,249,0,0,0,6.53,2014-15,CONMEBOL Copa America
0,Elias,Brazil,30,M(CR),4,4,376,0,0,0,6.51,2014-15,CONMEBOL Copa America
1,Jean Beausejour,Chile,31,"D(L),M(L)",4,3,259,0,0,0,6.51,2014-15,CONMEBOL Copa America
2,Néstor Ortigoza,Paraguay,31,M(C),4,4,308,0,1,0,6.51,2014-15,CONMEBOL Copa America
3,Ricardo Pedriel,Bolivia,28,"AM(R),FW",4,3,254,0,0,0,6.51,2014-15,CONMEBOL Copa America
4,Walter Ayoví,Ecuador,36,D(L),3,3,270,0,0,0,6.50,2014-15,CONMEBOL Copa America
5,Joel Sánchez,Peru,26,M(CLR),4,3,267,0,1,0,6.50,2014-15,CONMEBOL Copa America
6,Juan Cazares,Ecuador,23,AM(CLR),2,0,57,0,0,0,6.50,2014-15,CONMEBOL Copa America
7,Renato Ibarra,Ecuador,24,AM(R),3,1,134,0,0,0,6.49,2014-15,CONMEBOL Copa America
8,Oswaldo Vizcarrondo,Venezuela,31,D(C),3,3,270,0,0,0,6.49,2014-15,CONMEBOL Copa America
9,Álvaro González,Uruguay,31,"D(R),DMC,M(R)",4,3,274,0,0,0,6.49,2014-15,CONMEBOL Copa America
0,Juan Paredes,Ecuador,28,"D(R),M(R)",3,3,266,0,0,0,6.48,2014-15,CONMEBOL Copa America
1,Marcos Cáceres,Paraguay,29,D(CR),3,3,270,0,0,0,6.48,2014-15,CONMEBOL Copa America
2,Pablo Armero,Colombia,29,"D(L),M(L)",3,3,229,0,0,0,6.48,2014-15,CONMEBOL Copa America
3,Diego Rolan,Uruguay,22,"AM(CLR),FW",4,4,328,0,0,0,6.48,2014-15,CONMEBOL Copa America
4,Roberto Rosales,Venezuela,27,"D(R),M(R)",3,3,270,0,0,0,6.46,2014-15,CONMEBOL Copa America
5,César González,Venezuela,33,AM(C),2,0,57,0,0,0,6.44,2014-15,CONMEBOL Copa America
6,Juan Carlos Valenzuela,Mexico,31,D(CLR),2,2,180,0,0,0,6.43,2014-15,CONMEBOL Copa America
7,David Pizarro,Chile,36,M(C),4,0,75,0,0,0,6.41,2014-15,CONMEBOL Copa America
8,Dwayne Miller,Jamaica,28,GK,1,1,90,0,0,0,6.39,2014-15,CONMEBOL Copa America
9,Javier Aquino,Mexico,25,AM(R),3,0,97,0,0,0,6.38,2014-15,CONMEBOL Copa America
0,Carlos Lobatón,Peru,35,DMC,5,5,357,0,0,0,6.38,2014-15,CONMEBOL Copa America
1,Salomón Rondón,Venezuela,26,FW,3,3,270,1,0,0,6.38,2014-15,CONMEBOL Copa America
2,Osmar Molinas,Paraguay,28,M(CLR),2,1,94,0,0,0,6.38,2014-15,CONMEBOL Copa America
3,Yotún,Peru,25,"D(L),M(CLR)",6,1,143,0,0,0,6.37,2014-15,CONMEBOL Copa America
4,Danny Bejarano,Bolivia,22,M(CLR),3,3,270,0,0,0,6.37,2014-15,CONMEBOL Copa America
5,Miiko Albornoz,Chile,25,"D(L),M(L)",2,2,133,0,0,0,6.37,2014-15,CONMEBOL Copa America
6,Adrian Mariappa,Jamaica,29,D(CR),3,3,270,0,0,0,6.37,2014-15,CONMEBOL Copa America
7,Jefferson,Brazil,33,GK,4,4,391,0,0,0,6.37,2014-15,CONMEBOL Copa America
8,Damián Lizio,Bolivia,26,M(CLR),3,1,146,0,0,0,6.36,2014-15,CONMEBOL Copa America
9,Juan Medina,Mexico,32,M(CLR),3,3,235,0,1,0,6.36,2014-15,CONMEBOL Copa America
0,Luis Seijas,Venezuela,29,M(CLR),3,3,203,0,0,0,6.36,2014-15,CONMEBOL Copa America
1,Edwin Valencia,Colombia,30,DMC,3,3,194,0,0,0,6.35,2014-15,CONMEBOL Copa America
2,Matías Fernández,Chile,29,AM(C),4,0,133,0,0,0,6.34,2014-15,CONMEBOL Copa America
3,Ronald Vargas,Venezuela,29,AM(C),3,3,162,0,0,0,6.32,2014-15,CONMEBOL Copa America
4,Alejandro Chumacero,Bolivia,24,M(CLR),4,4,360,0,0,0,6.32,2014-15,CONMEBOL Copa America
5,Lance Laing,Jamaica,27,M(CLR),3,1,140,0,0,0,6.32,2014-15,CONMEBOL Copa America
6,Eduardo Aranda,Paraguay,30,M(CLR),2,1,108,0,0,0,6.31,2014-15,CONMEBOL Copa America
7,Victor Ibarbo,Colombia,25,"AM(LR),FW",3,1,139,0,0,0,6.31,2014-15,CONMEBOL Copa America
8,Yordy Reyna,Peru,22,"AM(CLR),FW",4,1,145,0,0,0,6.30,2014-15,CONMEBOL Copa America
9,Roque Santa Cruz,Paraguay,34,FW,5,4,338,0,0,0,6.30,2014-15,CONMEBOL Copa America
0,Fernando Gago,Argentina,29,M(C),1,0,13,0,0,0,6.29,2014-15,CONMEBOL Copa America
1,Jackson Martínez,Colombia,29,FW,3,1,106,0,0,0,6.28,2014-15,CONMEBOL Copa America
2,Leonel Morales,Bolivia,27,D(CLR),4,4,316,0,0,0,6.28,2014-15,CONMEBOL Copa America
3,Iván Piris,Paraguay,26,D(CLR),4,3,313,0,0,0,6.28,2014-15,CONMEBOL Copa America
4,Cristhian Stuani,Uruguay,29,"AM(CLR),FW",2,0,62,0,0,0,6.27,2014-15,CONMEBOL Copa America
5,Richard Ortiz,Paraguay,25,M(CLR),4,2,188,0,0,0,6.26,2014-15,CONMEBOL Copa America
6,Frickson Erazo,Ecuador,27,D(C),2,2,180,0,0,0,6.26,2014-15,CONMEBOL Copa America
7,Radamel Falcao,Colombia,29,FW,4,3,272,0,0,0,6.24,2014-15,CONMEBOL Copa America
8,Edinson Cavani,Uruguay,28,"AM(LR),FW",4,4,333,0,0,0,6.23,2014-15,CONMEBOL Copa America
9,Cristian Coímbra,Bolivia,27,D(CLR),3,2,213,0,0,0,6.20,2014-15,CONMEBOL Copa America
0,Eduardo Herrera,Mexico,27,FW,2,1,89,0,0,0,6.20,2014-15,CONMEBOL Copa America
1,Felipe Gutiérrez,Chile,25,M(C),1,0,4,0,0,0,6.20,2014-15,CONMEBOL Copa America
2,Garath McCleary,Jamaica,28,"D(R),M(CLR),FW",3,3,270,0,0,0,6.20,2014-15,CONMEBOL Copa America
3,Osvaldo Martínez,Paraguay,29,M(CLR),2,1,101,0,0,0,6.20,2014-15,CONMEBOL Copa America
4,Raúl Bobadilla,Paraguay,28,"AM(R),FW",6,4,410,0,0,0,6.19,2014-15,CONMEBOL Copa America
5,Miguel Samudio,Paraguay,29,D(L),3,3,257,0,0,0,6.18,2014-15,CONMEBOL Copa America
6,David Luiz,Brazil,28,"D(C),DMC",2,1,113,0,0,0,6.18,2014-15,CONMEBOL Copa America
7,Giles Barnes,Jamaica,27,"AM(CLR),FW",3,2,164,0,0,0,6.16,2014-15,CONMEBOL Copa America
8,Douglas Costa,Brazil,25,M(CLR),3,0,108,1,0,0,6.16,2014-15,CONMEBOL Copa America
9,Justo Villar,Paraguay,38,GK,4,4,391,0,0,0,6.12,2014-15,CONMEBOL Copa America
0,Teófilo Gutiérrez,Colombia,30,FW,4,3,208,0,0,0,6.12,2014-15,CONMEBOL Copa America
1,Erik Lamela,Argentina,23,"AM(CLR),FW",1,0,6,0,0,0,6.12,2014-15,CONMEBOL Copa America
2,Facundo Roncaglia,Argentina,28,D(CLR),1,1,90,0,0,0,6.11,2014-15,CONMEBOL Copa America
3,Jermaine Taylor,Jamaica,31,D(CL),1,0,19,0,0,0,6.11,2014-15,CONMEBOL Copa America
4,Paolo Hurtado,Peru,25,"AM(C),FW",4,0,30,0,0,0,6.11,2014-15,CONMEBOL Copa America
5,Fernando Amorebieta,Venezuela,30,D(CL),2,2,119,0,0,0,6.11,2014-15,CONMEBOL Copa America
6,Franklin Lucena,Venezuela,34,M(CLR),1,0,16,0,0,0,6.09,2014-15,CONMEBOL Copa America
7,Mario Osuna,Mexico,27,M(CLR),1,0,13,0,0,0,6.09,2014-15,CONMEBOL Copa America
8,Darren Mattocks,Jamaica,25,"AM(LR),FW",2,1,89,0,0,0,6.09,2014-15,CONMEBOL Copa America
9,Giorgian de Arrascaeta,Uruguay,21,"AM(CLR),FW",1,0,26,0,0,0,6.08,2014-15,CONMEBOL Copa America
0,Je-Vaughn Watson,Jamaica,32,"D(CLR),M(CR)",2,2,147,0,0,0,6.07,2014-15,CONMEBOL Copa America
1,Josef Martínez,Venezuela,22,"AM(L),FW",2,0,62,0,0,0,6.07,2014-15,CONMEBOL Copa America
2,Marquinhos,Brazil,21,"D(CR),DMC",1,0,14,0,0,0,6.07,2014-15,CONMEBOL Copa America
3,Carlos Tevez,Argentina,31,"AM(CL),FW",4,0,90,0,0,0,6.06,2014-15,CONMEBOL Copa America
4,Alcides Peña,Bolivia,27,FW,1,1,68,0,0,0,6.05,2014-15,CONMEBOL Copa America
5,Abel Hernández,Uruguay,25,FW,3,1,99,0,0,0,6.05,2014-15,CONMEBOL Copa America
6,Gabriel Cichero,Venezuela,31,D(C),3,1,146,0,0,0,6.05,2014-15,CONMEBOL Copa America
7,Diego Tardelli,Brazil,30,"AM(CLR),FW",4,1,154,0,0,0,6.03,2014-15,CONMEBOL Copa America
8,Roberto Pereyra,Argentina,25,"M(CLR),FW",2,0,32,0,0,0,6.03,2014-15,CONMEBOL Copa America
9,Pablo Escobar,Bolivia,37,M(CLR),3,1,125,0,0,0,6.01,2014-15,CONMEBOL Copa America
0,Jhasmani Campos,Bolivia,27,M(CLR),1,1,71,0,0,0,5.99,2014-15,CONMEBOL Copa America
1,Jorge Fucile,Uruguay,31,D(R),1,1,88,0,0,0,5.99,2014-15,CONMEBOL Copa America
2,Pedro Quiñónez,Ecuador,29,M(CLR),2,1,68,0,0,0,5.99,2014-15,CONMEBOL Copa America
3,Marvin Bejarano,Bolivia,27,D(CLR),3,0,68,0,0,0,5.99,2014-15,CONMEBOL Copa America
4,Simon Dawkins,Jamaica,28,"AM(CLR),FW",3,2,149,0,0,0,5.98,2014-15,CONMEBOL Copa America
5,Luis Montes,Mexico,29,M(CLR),1,0,9,0,0,0,5.98,2014-15,CONMEBOL Copa America
6,Alexander Domínguez,Ecuador,28,GK,3,3,270,0,0,0,5.98,2014-15,CONMEBOL Copa America
7,Wálter Veizaga,Bolivia,27,M(CLR),1,1,46,0,0,0,5.97,2014-15,CONMEBOL Copa America
8,Deshorn Brown,Jamaica,25,"AM(LR),FW",3,1,122,0,0,0,5.96,2014-15,CONMEBOL Copa America
9,Daniel Angulo,Ecuador,29,FW,1,0,4,0,0,0,5.95,2014-15,CONMEBOL Copa America
0,Jonathan Rodríguez,Uruguay,22,FW,1,0,5,0,0,0,5.95,2014-15,CONMEBOL Copa America
1,Mauricio Pinilla,Chile,31,FW,2,0,24,0,0,0,5.94,2014-15,CONMEBOL Copa America
2,Damir Miranda,Bolivia,30,M(CLR),2,0,47,0,0,0,5.90,2014-15,CONMEBOL Copa America
3,Éverton Ribeiro,Brazil,26,AM(CLR),2,0,37,0,0,0,5.70,2014-15,CONMEBOL Copa America
4,Fidel Martínez,Ecuador,25,M(CLR),3,2,126,0,0,0,5.65,2014-15,CONMEBOL Copa America
5,Carlos Bacca,Colombia,29,FW,2,1,86,0,0,0,5.64,2014-15,CONMEBOL Copa America
6,Edemir Rodríguez,Bolivia,31,D(CLR),1,1,46,0,0,0,5.58,2014-15,CONMEBOL Copa America
7,Luis Muriel,Colombia,24,"AM(CL),FW",1,0,36,0,0,0,5.33,2014-15,CONMEBOL Copa America
0,Gustavo Cuéllar,Colombia,27,DMC,1,1,90,1,0,1,8.07,2018-19,CONMEBOL Copa America
1,Yordan Osorio,Venezuela,25,D(C),1,1,90,0,0,1,7.87,2018-19,CONMEBOL Copa America
2,Philippe Coutinho,Brazil,27,M(CLR),6,6,544,2,1,2,7.73,2018-19,CONMEBOL Copa America
3,José Giménez,Uruguay,24,D(CR),4,4,390,1,0,1,7.71,2018-19,CONMEBOL Copa America
4,Rodrigo Bentancur,Uruguay,22,M(C),4,4,390,0,0,0,7.68,2018-19,CONMEBOL Copa America
5,James Rodríguez,Colombia,28,"AM(CLR),FW",4,3,332,0,2,1,7.63,2018-19,CONMEBOL Copa America
6,Dani Alves,Brazil,36,"D(R),M(CR)",6,6,535,1,0,0,7.60,2018-19,CONMEBOL Copa America
7,Casemiro,Brazil,27,DMC,5,5,397,1,0,0,7.55,2018-19,CONMEBOL Copa America
8,Edinson Cavani,Uruguay,32,"AM(LR),FW",4,4,390,2,0,1,7.53,2018-19,CONMEBOL Copa America
9,Éverton,Brazil,23,"AM(CLR),FW",6,4,373,3,1,1,7.49,2018-19,CONMEBOL Copa America
0,Alexis Sánchez,Chile,31,"M(CLR),FW",6,6,494,2,1,1,7.42,2018-19,CONMEBOL Copa America
1,Roberto Firmino,Brazil,28,"M(CLR),FW",6,6,530,2,3,1,7.41,2018-19,CONMEBOL Copa America
2,Filipe Luís,Brazil,34,D(L),4,4,283,0,0,0,7.38,2018-19,CONMEBOL Copa America
3,Erick Pulgar,Chile,25,DMC,6,6,570,1,0,1,7.37,2018-19,CONMEBOL Copa America
4,Nicolás Lodeiro,Uruguay,30,"M(CLR),FW",3,3,194,1,1,0,7.37,2018-19,CONMEBOL Copa America
5,Arthur,Brazil,23,DMC,5,5,480,0,1,0,7.36,2018-19,CONMEBOL Copa America
6,Luis Suárez,Uruguay,32,"AM(CLR),FW",4,4,390,2,1,1,7.36,2018-19,CONMEBOL Copa America
7,Yerry Mina,Colombia,25,D(C),3,3,300,0,0,1,7.35,2018-19,CONMEBOL Copa America
8,Cristián Zapata,Colombia,33,D(C),1,1,90,0,0,0,7.34,2018-19,CONMEBOL Copa America
9,Mikel Villanueva,Venezuela,26,D(C),2,2,180,0,0,0,7.33,2018-19,CONMEBOL Copa America
0,Juanpi,Venezuela,25,AM(CR),1,1,59,0,0,0,7.32,2018-19,CONMEBOL Copa America
1,Paolo Guerrero,Peru,36,FW,6,6,535,3,0,0,7.32,2018-19,CONMEBOL Copa America
